,month,year,permit,handgun,long_gun,multiple,total_ownership
345,2017-03-01,2017,529.0,29873.0,17754.0,0,48156.0
346,2017-03-01,2017,16813.0,20308.0,12740.0,735,50596.0
347,2017-03-01,2017,2951.0,8887.0,6616.0,523,18977.0
348,2017-03-01,2017,20393.0,19864.0,16763.0,41,57061.0
349,2017-03-01,2017,534.0,2017.0,2038.0,124,4713.0
350,2017-02-01,2017,23900.0,10739.0,7028.0,505,42172.0
351,2017-02-01,2017,137.0,2857.0,2102.0,180,5276.0
352,2017-02-01,2017,7938.0,15642.0,8881.0,821,33282.0
353,2017-02-01,2017,3220.0,7974.0,5938.0,590,17722.0
354,2017-02-01,2017,56533.0,44363.0,24987.0,0,125883.0
355,2017-02-01,2017,6447.0,20958.0,13477.0,1240,42122.0
356,2017-02-01,2017,6436.0,6445.0,2187.0,0,15068.0
357,2017-02-01,2017,692.0,2342.0,1663.0,102,4799.0
358,2017-02-01,2017,23617.0,59201.0,23479.0,2187,108484.0
359,2017-02-01,2017,18666.0,19007.0,9334.0,863,47870.0
360,2017-02-01,2017,1035.0,0.0,0.0,0,1035.0
361,2017-02-01,2017,5342.0,4051.0,3904.0,227,13524.0
362,2017-02-01,2017,11166.0,27418.0,12635.0,1002,52221.0
363,2017-02-01,2017,92422.0,27343.0,13221.0,814,133800.0
364,2017-02-01,2017,12039.0,318.0,2403.0,12,14772.0
365,2017-02-01,2017,3179.0,8082.0,5501.0,430,17192.0
366,2017-02-01,2017,283492.0,14975.0,8636.0,1044,308147.0
367,2017-02-01,2017,3184.0,12698.0,7601.0,668,24151.0
368,2017-02-01,2017,696.0,3758.0,2544.0,169,7167.0
369,2017-02-01,2017,3812.0,4925.0,5534.0,45,14316.0
370,2017-02-01,2017,8255.0,6280.0,2901.0,156,17592.0
371,2017-02-01,2017,21600.0,15564.0,9804.0,263,47231.0
372,2017-02-01,2017,38315.0,12047.0,9641.0,375,60378.0
373,2017-02-01,2017,1966.0,11285.0,6045.0,580,19876.0
374,2017-02-01,2017,1001.0,26726.0,16012.0,1477,45216.0
375,2017-02-01,2017,1911.0,2912.0,3429.0,309,8561.0
376,2017-02-01,2017,4867.0,171.0,1937.0,6,6981.0
377,2017-02-01,2017,2158.0,5644.0,2732.0,308,10842.0
378,2017-02-01,2017,2855.0,6092.0,3098.0,2,12047.0
379,2017-02-01,2017,0.0,5904.0,3481.0,0,9385.0
380,2017-02-01,2017,1230.0,7032.0,4632.0,509,13403.0
381,2017-02-01,2017,2794.0,11465.0,14080.0,179,28518.0
382,2017-02-01,2017,29573.0,1410.0,13488.0,415,44886.0
383,2017-02-01,2017,1764.0,1807.0,2213.0,77,5861.0
384,2017-02-01,2017,12784.0,36244.0,18068.0,1583,68679.0
385,2017-02-01,2017,0.0,14051.0,9769.0,1211,25031.0
386,2017-02-01,2017,972.0,16425.0,11726.0,0,29123.0
387,2017-02-01,2017,27792.0,54107.0,12734.0,0,94633.0
388,2017-02-01,2017,0.0,1278.0,731.0,209,2218.0
389,2017-02-01,2017,17148.0,12510.0,6324.0,2679,38661.0
390,2017-02-01,2017,1662.0,3569.0,3533.0,170,8934.0
391,2017-02-01,2017,19252.0,31982.0,16425.0,0,67659.0
392,2017-02-01,2017,23960.0,56786.0,33238.0,3523,117507.0
393,2017-02-01,2017,14815.0,4371.0,4252.0,0,23438.0
394,2017-02-01,2017,0.0,1885.0,1538.0,59,3482.0
395,2017-02-01,2017,838.0,28434.0,16587.0,0,45859.0
396,2017-02-01,2017,13432.0,18785.0,11860.0,842,44919.0
397,2017-02-01,2017,2274.0,8917.0,6203.0,668,18062.0
398,2017-02-01,2017,18733.0,18147.0,12247.0,57,49184.0
399,2017-02-01,2017,330.0,1839.0,1646.0,113,3928.0
400,2017-01-01,2017,25093.0,6770.0,6572.0,278,38713.0
401,2017-01-01,2017,185.0,2028.0,1631.0,127,3971.0
402,2017-01-01,2017,8117.0,12108.0,7353.0,550,28128.0
403,2017-01-01,2017,2512.0,5174.0,5278.0,313,13277.0
404,2017-01-01,2017,62397.0,41516.0,22686.0,0,126599.0
405,2017-01-01,2017,5619.0,17189.0,11864.0,982,35654.0
406,2017-01-01,2017,6706.0,6133.0,2115.0,0,14954.0
407,2017-01-01,2017,736.0,1815.0,1466.0,57,4074.0
408,2017-01-01,2017,21675.0,51599.0,21867.0,1816,96957.0
409,2017-01-01,2017,20369.0,12519.0,7945.0,376,41209.0
